ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:GroupNotifications,OFB:Notifications,83.87,OSN:Represents notification settings for a group.,OFB:Represents notifications and their configurations.
OSN:VideoNotifications,OFB:Notifications,83.87,"OSN:Represents notifications related to video content, such as new video uploads, reminders, and other updates.",OFB:Represents notifications and their configurations.
OSN:DirectMessages,OFB:DirectMessaging,82.76,OSN:Represents direct messaging interactions among users on the platform.,OFB:Represents one-on-one messaging interactions.
OSN:GIFComment,OFB:Comment,82.35,OSN:Represents a comment made by a user that contains a GIF.,OFB:Represents comments made by users on content.
OSN:Groups,OFB:GroupMessaging,81.82,OSN:Represents groups in the online social network site.,OFB:Represents group messaging interactions.
OSN:AccountSettings,OFB:CommunitySettings,81.25,"OSN:Handles general, privacy, security, and account management settings.","OFB:Represents settings for a community, including posting rules, banner, and flair."
OSN:AccountManagement,OFB:Engagement,80.0,"OSN:Handles configurations for deactivating, deleting, downloading, or transferring account information.",OFB:Represents various types of engagement actions performed on content.
OSN:DeviceManagement,OFB:Engagement,80.0,OSN:Handles authorized devices associated with the user's account.,OFB:Represents various types of engagement actions performed on content.
OSN:GroupModeration,OFB:Moderator,80.0,OSN:Represents the moderation activities and policies within a group.,OFB:Represents a moderator assigned to a community with specific roles and permissions.
OSN:GroupNotifications,OFB:PushNotifications,80.0,OSN:Represents notification settings for a group.,OFB:Represents push notification settings.
OSN:ListingsManagement,OFB:Engagement,80.0,"OSN:Represents the management of listings in the marketplace, including metrics and status.",OFB:Represents various types of engagement actions performed on content.
OSN:ModerationActions,OFB:Donations,80.0,OSN:Represents actions that moderators or admins can take in group moderation.,OFB:Represents donations made to creators or content.
OSN:ModerationActions,OFB:Moderator,80.0,OSN:Represents actions that moderators or admins can take in group moderation.,OFB:Represents a moderator assigned to a community with specific roles and permissions.
OSN:Moderator,OFB:CommunityModeration,80.0,OSN:Represents a moderator role in a group.,"OFB:Represents moderation functionalities for a community, including moderators and their actions."
OSN:Moderator,OFB:ModerationQueue,80.0,OSN:Represents a moderator role in a group.,OFB:Represents a queue that contains flagged content for moderation.
OSN:PagesManagement,OFB:Engagement,80.0,"OSN:Handles creation, activation, deactivation, and merging of Pages.",OFB:Represents various types of engagement actions performed on content.
OSN:Posts,OFB:CrossPost,80.0,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",OFB:Represents posts that are cross-posted from other communities or original posts.
OSN:Posts,OFB:ScheduledPost,80.0,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",OFB:Represents posts scheduled by users to be published at a future timestamp.
OSN:Posts,OFB:ShareRepost,80.0,"OSN:Represents posts created by users, including media posts, location check-ins, and live videos.",OFB:Represents sharing or reposting content to a community or other platforms.
