ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:hasLogoutTimestamp,MCSS:hasGiftTimestamp,82.35,Timestamp indicating when the logout occurred.,Records the timestamp when a gift was sent during a live session.
OSN:hasGroupName,MCSS:hasGroupMessageCreatedTimestamp,81.82,The name of the group.,Represents the timestamp when the group message thread was created.
OSN:hasGroupName,MCSS:hasGroupMessageLastActivity,81.82,The name of the group.,Represents the timestamp of the last activity in the group message thread.
OSN:hasGroupName,MCSS:hasGroupMessageTitle,81.82,The name of the group.,Represents the title of a group message thread.
OSN:hasInboxAccessTimestamp,MCSS:hasTimestamp,81.82,Timestamp for accessing the support inbox.,Represents the timestamp of when the message was sent.
OSN:hasReelWatchTimestamp,MCSS:hasTimestamp,81.82,Timestamp of when the reel was watched.,Represents the timestamp of when the message was sent.
OSN:hasSupportAccessTimestamp,MCSS:hasTimestamp,81.82,Timestamp for accessing the support center.,Represents the timestamp of when the message was sent.
OSN:hasLocation,MCSS:hasVideoLocation,81.48,The location of the page.,Represents the location associated with the video.
OSN:hasEditTimestamp,MCSS:hasLikeTimestamp,81.25,The timestamp of the last edit made to the avatar.,Records the timestamp when a like interaction occurred.
OSN:hasEventLocation,MCSS:hasVideoLocation,81.25,The location of the event.,Represents the location associated with the video.
OSN:hasPostTimestamp,MCSS:hasGiftTimestamp,81.25,Stores post's timestamp,Records the timestamp when a gift was sent during a live session.
OSN:hasSellerLocation,MCSS:hasLiveLocation,81.25,The location of the seller for the listing.,Represents the location associated with the live session.
OSN:hasGameSaveTimestamp,MCSS:hasShareTimestamp,81.08,The timestamp when the game was saved.,Records the timestamp when a share interaction occurred.
OSN:hasRuleDescription,MCSS:hasShortDescription,81.08,The description of the group rule.,Stores the description of the short video.
OSN:hasLastName,MCSS:hasLastMessagePreview,81.0,Stores the last name of the user.,Displays a preview of the most recent message.
OSN:hasDescription,MCSS:hasChannelDescription,80.0,The description of the page.,Description of the channel.
OSN:hasEditTimestamp,MCSS:hasCommentTimestamp,80.0,The timestamp of the last edit made to the avatar.,Records the timestamp when a comment interaction occurred.
OSN:hasEditTimestamp,MCSS:hasDislikeTimestamp,80.0,The timestamp of the last edit made to the avatar.,Records the timestamp when a dislike interaction occurred.
OSN:hasEventCount,MCSS:hasViewCount,80.0,The number of events on the page.,Represents the number of views the video has received.
OSN:hasEventDeviceInfo,MCSS:hasPostDeviceInfo,80.0,Device information of the user managing the event.,Device information used to create the short video post.
OSN:hasLogoutTimestamp,MCSS:hasTimestamp,80.0,Timestamp indicating when the logout occurred.,Represents the timestamp of when the message was sent.
OSN:hasNotificationFrequency,MCSS:hasNotificationPreferences,80.0,"The frequency of group notifications (e.g., Daily, Weekly).",Notification preferences set by the user.
OSN:hasPostLocation,MCSS:hasPostURL,80.0,Stores Post's geotag location,URL of the short video post.
OSN:hasPostTimestamp,MCSS:hasCommentTimestamp,80.0,Stores post's timestamp,Records the timestamp when a comment interaction occurred.
OSN:hasPostTimestamp,MCSS:hasPostIP,80.0,Stores post's timestamp,IP address used to create the short video post.
OSN:hasPostVisibility,MCSS:hasPostIP,80.0,"The visibility level of the avatar post (e.g., Public, Private).",IP address used to create the short video post.
OSN:hasReelLocation,MCSS:hasLiveLocation,80.0,Stores Reel's geotag location,Represents the location associated with the live session.
OSN:hasReportTimestamp,MCSS:hasShareTimestamp,80.0,Timestamp for submitting a problem report.,Records the timestamp when a share interaction occurred.
OSN:hasReportTimestamp,MCSS:hasTimestamp,80.0,Timestamp for submitting a problem report.,Represents the timestamp of when the message was sent.
OSN:hasTimestamp,MCSS:hasReportTimestamp,80.0,Stores the timestamp when the like was given.,Records the timestamp when a report interaction occurred.
OSN:hasVideoCount,MCSS:hasLikeCount,80.0,The number of videos on the page.,Represents the number of likes the video has received.
