subject,predicate,object,subjectComment,predicateComment,objectComment
Admin,removesMember,User,Represents an admin role in a group.,Allows an admin to remove a member from the group.,The primary class representing the user in the system.
Admin,approvesPost,Posts,Represents an admin role in a group.,Allows an admin to approve a post submitted by a group member.,"Represents posts created by users, including media posts, location check-ins, and live videos."
Admin,deniesPost,Posts,Represents an admin role in a group.,Allows an admin to deny a post submitted by a group member.,"Represents posts created by users, including media posts, location check-ins, and live videos."
Admin,setsGroupRuleViolation,User,Represents an admin role in a group.,Allows an admin to flag a user for violating group rules.,The primary class representing the user in the system.
Admin,reviewsReportedContent,Posts,Represents an admin role in a group.,Allows an admin to review reported content for rule violations.,"Represents posts created by users, including media posts, location check-ins, and live videos."
User,sendsEventInvitationTo,User,The primary class representing the user in the system.,Represents a user sending an event invitation to another user.,The primary class representing the user in the system.
User,acceptsEventInvitationFrom,User,The primary class representing the user in the system.,Represents a user accepting an event invitation from another user.,The primary class representing the user in the system.
User,createsAvatar,Avatars,The primary class representing the user in the system.,Links a user to the creation of a new avatar.,"Represents the avatars created, edited, and customized by users."
User,editsAvatar,Avatars,The primary class representing the user in the system.,Links a user to editing an existing avatar.,"Represents the avatars created, edited, and customized by users."
User,buysClothesFor,Avatars,The primary class representing the user in the system.,Represents the action of buying clothes for an avatar.,"Represents the avatars created, edited, and customized by users."
User,triesNewOutfitsFor,Avatars,The primary class representing the user in the system.,Represents the action of trying new outfits for an avatar.,"Represents the avatars created, edited, and customized by users."
User,createAvatarPosts,Posts,The primary class representing the user in the system.,Links a user to the creation of posts featuring their avatar.,"Represents posts created by users, including media posts, location check-ins, and live videos."
User,writesBirthdayOnTimeline,User,The primary class representing the user in the system.,Links a user to another user's timeline where they write birthday messages.,The primary class representing the user in the system.
User,sendBirthdayMessageTo,User,The primary class representing the user in the system.,Links a user to another user they send a birthday message to.,The primary class representing the user in the system.
User,savesGame,PlayGames,The primary class representing the user in the system.,Links a user to saved games.,Represents game-playing activities.
User,sharesGame,PlayGames,The primary class representing the user in the system.,Links a user to shared games.,Represents game-playing activities.
User,connectsGame,PlayGames,The primary class representing the user in the system.,Links a user to connected games or gaming notifications.,Represents game-playing activities.
User,createChildAccount,MessengerKids,The primary class representing the user in the system.,Links a user to the creation of a child’s account on Messenger Kids.,Represents activities and information related to Messenger Kids accounts.
User,connectMessengerKid,MessengerKids,The primary class representing the user in the system.,Links a user to the connection of Messenger Kids accounts.,Represents activities and information related to Messenger Kids accounts.
User,createPage,Pages,The primary class representing the user in the system.,Links a user to the creation of a new page.,Represents Pages in the online social network context.
User,activatePage,Pages,The primary class representing the user in the system.,Links a user to the activation of a page.,Represents Pages in the online social network context.
User,deactivatePage,Pages,The primary class representing the user in the system.,Links a user to the deactivation of a page.,Represents Pages in the online social network context.
User,mergePages,Pages,The primary class representing the user in the system.,Links a user to the process of merging two or more pages.,Represents Pages in the online social network context.
User,settingsTwoFactorAuthentication,SecuritySettings,The primary class representing the user in the system.,Links a user to two-factor authentication settings.,"Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts."
User,settingsTwoFactorAuthentication,SecuritySettings,The primary class representing the user in the system.,Links a user to two-factor authentication settings.,Handles security configurations like two-factor authentication and password management.
User,settingsLoginAlerts,SecuritySettings,The primary class representing the user in the system.,Links a user to login alert settings.,"Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts."
User,settingsLoginAlerts,SecuritySettings,The primary class representing the user in the system.,Links a user to login alert settings.,Handles security configurations like two-factor authentication and password management.
User,settingsPasswordManagement,SecuritySettings,The primary class representing the user in the system.,Links a user to password management settings.,"Represents the security settings of the user's account, including session management, two-factor authentication, and login alerts."
User,settingsPasswordManagement,SecuritySettings,The primary class representing the user in the system.,Links a user to password management settings.,Handles security configurations like two-factor authentication and password management.
User,deactivatesAccount,AccountManagement,The primary class representing the user in the system.,Links a user to account deactivation actions.,"Handles configurations for deactivating, deleting, downloading, or transferring account information."
User,deletesAccount,AccountManagement,The primary class representing the user in the system.,Links a user to account deletion actions.,"Handles configurations for deactivating, deleting, downloading, or transferring account information."
User,downloadsYourInformation,AccountManagement,The primary class representing the user in the system.,Links a user to downloading account information actions.,"Handles configurations for deactivating, deleting, downloading, or transferring account information."
User,transfersYourInformation,AccountManagement,The primary class representing the user in the system.,Links a user to transferring account information actions.,"Handles configurations for deactivating, deleting, downloading, or transferring account information."
User,accessHelpCenter,HelpSupport,The primary class representing the user in the system.,Links a user to accessing the help center.,Represents support and help-related features for users.
User,submitsReportProblem,HelpSupport,The primary class representing the user in the system.,Links a user to submitting a problem report.,Represents support and help-related features for users.
User,accessSupportInbox,HelpSupport,The primary class representing the user in the system.,Links a user to accessing the support inbox.,Represents support and help-related features for users.
OtherApps,Messenger,User,Represents other Meta apps that can connect to the user's account.,Links the user to the Messenger app.,The primary class representing the user in the system.
OtherApps,WhatsApp,User,Represents other Meta apps that can connect to the user's account.,Links the user to the WhatsApp app.,The primary class representing the user in the system.
User,likesActivities,ActivityLog,The primary class representing the user in the system.,Records activities related to liking content.,Represents a record of activities performed by a user.
User,commentsActivities,ActivityLog,The primary class representing the user in the system.,Records activities related to commenting on content.,Represents a record of activities performed by a user.
User,tagsActivities,ActivityLog,The primary class representing the user in the system.,Records activities related to tagging others.,Represents a record of activities performed by a user.
User,reviewsActivities,ActivityLog,The primary class representing the user in the system.,Records activities related to reviewing content.,Represents a record of activities performed by a user.
User,downloadsInformation,ActivityLog,The primary class representing the user in the system.,Represents user activity for downloading their account information.,Represents a record of activities performed by a user.
User,LogoutAction,Logout,The primary class representing the user in the system.,Links a user to the logout action performed.,Represents the action of a user logging out of the system.
