subject,predicate,object,subjectComment,predicateComment,objectComment
User,canEnableTwoFactorAuthentication,SecuritySettings,Represents a user in the online forum or blog system.,Indicates that a user can enable two-factor authentication.,Settings related to managing the user's profile security.
User,canSetNSFWVisibility,SecuritySettings,Represents a user in the online forum or blog system.,Indicates that a user can set NSFW content visibility settings.,Settings related to managing the user's profile security.
User,subscribesTo,SubscriptionPlan,Represents a user in the online forum or blog system.,Links a user to the subscription plan they have subscribed to.,Represents a subscription plan for a user.
User,unsubscribesFrom,SubscriptionPlan,Represents a user in the online forum or blog system.,Links a user to the subscription plan they have unsubscribed from.,Represents a subscription plan for a user.
User,associatedWithSubscriptionPlan,SubscriptionPlan,Represents a user in the online forum or blog system.,Associates a user with their subscription plan.,Represents a subscription plan for a user.
User,configuresPushNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of push notifications.,Represents notification settings for a user.
User,configuresPushNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of push notifications.,Represents settings related to notifications.
User,configuresPushNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to their push notification device settings.,Represents notification settings for a user.
User,configuresPushNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to their push notification device settings.,Represents settings related to notifications.
User,configuresPushNotifications,NotificationDevice,Represents a user in the online forum or blog system.,Links a user to the configuration of push notifications.,Represents a device configured for push notifications.
User,configuresPushNotifications,NotificationDevice,Represents a user in the online forum or blog system.,Links a user to their push notification device settings.,Represents a device configured for push notifications.
User,configuresEmailNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of email notifications.,Represents notification settings for a user.
User,configuresEmailNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of email notifications.,Represents settings related to notifications.
User,configuresEmailNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to their email notification settings.,Represents notification settings for a user.
User,configuresEmailNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to their email notification settings.,Represents settings related to notifications.
User,configuresEmailNotifications,ProfileSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of email notifications.,Settings related to managing the user's profile.
User,configuresEmailNotifications,ProfileSettings,Represents a user in the online forum or blog system.,Links a user to their email notification settings.,Settings related to managing the user's profile.
User,configuresInAppNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of in-app notifications.,Represents notification settings for a user.
User,configuresInAppNotifications,NotificationSettings,Represents a user in the online forum or blog system.,Links a user to the configuration of in-app notifications.,Represents settings related to notifications.
User,enablesAnonymousMode,AnonymousSession,Represents a user in the online forum or blog system.,Indicates that a user enables anonymous mode.,Represents a session where the user operates in anonymous mode.
User,disablesAnonymousMode,AnonymousSession,Represents a user in the online forum or blog system.,Indicates that a user disables anonymous mode.,Represents a session where the user operates in anonymous mode.
AnonymousSession,anonymousActivityLoggedBy,AnonymousSession,Represents a session where the user operates in anonymous mode.,Links anonymous activity with the session that logged it.,Represents a session where the user operates in anonymous mode.
AnonymousSession,anonymousActivityLoggedBy,AnonymousSession,Represents a session where the user operates in anonymous mode.,Indicates that the anonymous activity is logged by a specific anonymous session.,Represents a session where the user operates in anonymous mode.
AnonymousMode,anonymousActivityLoggedBy,AnonymousSession,Represents the functionality of sharing content anonymously within a community.,Links anonymous activity with the session that logged it.,Represents a session where the user operates in anonymous mode.
AnonymousMode,anonymousActivityLoggedBy,AnonymousSession,Represents the functionality of sharing content anonymously within a community.,Indicates that the anonymous activity is logged by a specific anonymous session.,Represents a session where the user operates in anonymous mode.
User,requestsAccountDeactivation,UserAction,Represents a user in the online forum or blog system.,Indicates that a user requests account deactivation.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
AccountDeactivation,deactivationRequestedBy,UserAction,Represents a user's account deactivation process and state.,Links account deactivation with the user action that initiated it.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
User,requestsAccountDeletion,UserAction,Represents a user in the online forum or blog system.,Indicates that a user has requested account deletion.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
AccountDeletion,deletionRequestedBy,UserAction,Handles the process and properties related to account deletion.,Links the account deletion process to the user action that initiated it.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
User,logsOutFromSession,Session,Represents a user in the online forum or blog system.,Links a user to the session they logged out from.,"Handles session management, including logouts."
Session,logoutPerformedBy,UserAction,"Handles session management, including logouts.",Links a session to the user action that performed the logout.,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion."
UserAction,performedBy,User,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion.",Links a user action to the user who performed it.,Represents a user in the online forum or blog system.
UserAction,performedBy,User,"Represents actions performed by users within the system, such as editing profiles, enabling two-factor authentication, or requesting account deletion.","
        Links an interaction instance (UpvoteDownvote, Like, Comment, etc.)
        to the user who performed the action.
        ",Represents a user in the online forum or blog system.
ContentInteraction,performedBy,User,"Represents all forms of user interactions with content, including voting, liking, and replying.",Links a user action to the user who performed it.,Represents a user in the online forum or blog system.
ContentInteraction,performedBy,User,"Represents all forms of user interactions with content, including voting, liking, and replying.","
        Links an interaction instance (UpvoteDownvote, Like, Comment, etc.)
        to the user who performed the action.
        ",Represents a user in the online forum or blog system.
User,createsPost,Post,Represents a user in the online forum or blog system.,Indicates that a user created a post.,"Represents posts created by users, which may contain text, media, and other metadata."
Post,associatedWithUser,User,"Represents posts created by users, which may contain text, media, and other metadata.",Links a post to the user who created it.,Represents a user in the online forum or blog system.
Post,associatedWithUser,User,"Represents posts created by users, which may contain text, media, and other metadata.",Links a scheduled post to the user who created it.,Represents a user in the online forum or blog system.
Post,associatedWithUser,User,"Represents posts created by users, which may contain text, media, and other metadata.",Links a cross-post to the user who created it.,Represents a user in the online forum or blog system.
Post,associatedWithUser,User,"Represents posts created by users, which may contain text, media, and other metadata.",Links tagged content to the user who created the tag.,Represents a user in the online forum or blog system.
Post,associatedWithUser,User,"Represents posts created by users, which may contain text, media, and other metadata.",Links a flair to a specific user in the system.,Represents a user in the online forum or blog system.
ScheduledPost,associatedWithUser,User,Represents posts scheduled by users to be published at a future timestamp.,Links a post to the user who created it.,Represents a user in the online forum or blog system.
ScheduledPost,associatedWithUser,User,Represents posts scheduled by users to be published at a future timestamp.,Links a scheduled post to the user who created it.,Represents a user in the online forum or blog system.
ScheduledPost,associatedWithUser,User,Represents posts scheduled by users to be published at a future timestamp.,Links a cross-post to the user who created it.,Represents a user in the online forum or blog system.
ScheduledPost,associatedWithUser,User,Represents posts scheduled by users to be published at a future timestamp.,Links tagged content to the user who created the tag.,Represents a user in the online forum or blog system.
ScheduledPost,associatedWithUser,User,Represents posts scheduled by users to be published at a future timestamp.,Links a flair to a specific user in the system.,Represents a user in the online forum or blog system.
CrossPost,associatedWithUser,User,Represents posts that are cross-posted from other communities or original posts.,Links a post to the user who created it.,Represents a user in the online forum or blog system.
CrossPost,associatedWithUser,User,Represents posts that are cross-posted from other communities or original posts.,Links a scheduled post to the user who created it.,Represents a user in the online forum or blog system.
CrossPost,associatedWithUser,User,Represents posts that are cross-posted from other communities or original posts.,Links a cross-post to the user who created it.,Represents a user in the online forum or blog system.
CrossPost,associatedWithUser,User,Represents posts that are cross-posted from other communities or original posts.,Links tagged content to the user who created the tag.,Represents a user in the online forum or blog system.
CrossPost,associatedWithUser,User,Represents posts that are cross-posted from other communities or original posts.,Links a flair to a specific user in the system.,Represents a user in the online forum or blog system.
TagContent,associatedWithUser,User,Represents content tagged by users with specific labels.,Links a post to the user who created it.,Represents a user in the online forum or blog system.
TagContent,associatedWithUser,User,Represents content tagged by users with specific labels.,Links a scheduled post to the user who created it.,Represents a user in the online forum or blog system.
TagContent,associatedWithUser,User,Represents content tagged by users with specific labels.,Links a cross-post to the user who created it.,Represents a user in the online forum or blog system.
TagContent,associatedWithUser,User,Represents content tagged by users with specific labels.,Links tagged content to the user who created the tag.,Represents a user in the online forum or blog system.
TagContent,associatedWithUser,User,Represents content tagged by users with specific labels.,Links a flair to a specific user in the system.,Represents a user in the online forum or blog system.
FlairSystem,associatedWithUser,User,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a post to the user who created it.,Represents a user in the online forum or blog system.
FlairSystem,associatedWithUser,User,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a scheduled post to the user who created it.,Represents a user in the online forum or blog system.
FlairSystem,associatedWithUser,User,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a cross-post to the user who created it.,Represents a user in the online forum or blog system.
FlairSystem,associatedWithUser,User,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links tagged content to the user who created the tag.,Represents a user in the online forum or blog system.
FlairSystem,associatedWithUser,User,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a flair to a specific user in the system.,Represents a user in the online forum or blog system.
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Post,associatedWithCommunity,Community,"Represents posts created by users, which may contain text, media, and other metadata.",Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Draft,associatedWithCommunity,Community,"Represents drafts saved by users, which can be edited and later posted.",Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
ScheduledPost,associatedWithCommunity,Community,Represents posts scheduled by users to be published at a future timestamp.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CrossPost,associatedWithCommunity,Community,Represents posts that are cross-posted from other communities or original posts.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
Polls,associatedWithCommunity,Community,Represents polls created by users with questions and options for interaction.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
AnonymousMode,associatedWithCommunity,Community,Represents the functionality of sharing content anonymously within a community.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents rules or guidelines that govern behavior and content within a community.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links a post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links a draft to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links a scheduled post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links a cross-post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links polls to the community they are associated with.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links an anonymous post to the community it belongs to.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,associatedWithCommunity,Community,Represents the rules governing a community's content and behavior.,Links a rule to the community it governs.,"Represents an online community where users can join, follow, and interact with posts and rules."
User,savesPostAsDraft,Draft,Represents a user in the online forum or blog system.,Indicates that a user saved a post as a draft.,"Represents drafts saved by users, which can be edited and later posted."
User,editsDraft,Draft,Represents a user in the online forum or blog system.,Indicates that a user edited a draft.,"Represents drafts saved by users, which can be edited and later posted."
User,postsDraft,Draft,Represents a user in the online forum or blog system.,Indicates that a user posted a draft.,"Represents drafts saved by users, which can be edited and later posted."
User,postsScheduledPost,ScheduledPost,Represents a user in the online forum or blog system.,Links a user to the scheduled post they have created.,Represents posts scheduled by users to be published at a future timestamp.
User,editsScheduledPost,ScheduledPost,Represents a user in the online forum or blog system.,Indicates that a user edits an existing scheduled post.,Represents posts scheduled by users to be published at a future timestamp.
User,postsCrossPost,CrossPost,Represents a user in the online forum or blog system.,Links a user to the cross-post they have created.,Represents posts that are cross-posted from other communities or original posts.
User,editsCrossPost,CrossPost,Represents a user in the online forum or blog system.,Indicates that a user edits an existing cross-post.,Represents posts that are cross-posted from other communities or original posts.
CrossPost,associatedWithOriginalPost,Post,Represents posts that are cross-posted from other communities or original posts.,Links a cross-post to its original post.,"Represents posts created by users, which may contain text, media, and other metadata."
User,addTagsOnContent,Content,Represents a user in the online forum or blog system.,Indicates that a user has tagged a piece of content.,"Represents all forms of user-generated content, including posts and drafts, within the platform."
TagContent,associatedWithPost,Post,Represents content tagged by users with specific labels.,Links tagged content to the post it is associated with.,"Represents posts created by users, which may contain text, media, and other metadata."
TagContent,associatedWithPost,Post,Represents content tagged by users with specific labels.,Links a flair to a specific post in the system.,"Represents posts created by users, which may contain text, media, and other metadata."
TagContent,associatedWithPost,Post,Represents content tagged by users with specific labels.,Links a pinning action to the associated post.,"Represents posts created by users, which may contain text, media, and other metadata."
TagContent,associatedWithPost,Post,Represents content tagged by users with specific labels.,Links a flair tag to a specific post.,"Represents posts created by users, which may contain text, media, and other metadata."
FlairSystem,associatedWithPost,Post,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links tagged content to the post it is associated with.,"Represents posts created by users, which may contain text, media, and other metadata."
FlairSystem,associatedWithPost,Post,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a flair to a specific post in the system.,"Represents posts created by users, which may contain text, media, and other metadata."
FlairSystem,associatedWithPost,Post,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a pinning action to the associated post.,"Represents posts created by users, which may contain text, media, and other metadata."
FlairSystem,associatedWithPost,Post,Represents a system for assigning flair labels to posts or users to provide additional context or categorization.,Links a flair tag to a specific post.,"Represents posts created by users, which may contain text, media, and other metadata."
PinPosts,associatedWithPost,Post,Represents pinning actions for posts by users or communities.,Links tagged content to the post it is associated with.,"Represents posts created by users, which may contain text, media, and other metadata."
PinPosts,associatedWithPost,Post,Represents pinning actions for posts by users or communities.,Links a flair to a specific post in the system.,"Represents posts created by users, which may contain text, media, and other metadata."
PinPosts,associatedWithPost,Post,Represents pinning actions for posts by users or communities.,Links a pinning action to the associated post.,"Represents posts created by users, which may contain text, media, and other metadata."
PinPosts,associatedWithPost,Post,Represents pinning actions for posts by users or communities.,Links a flair tag to a specific post.,"Represents posts created by users, which may contain text, media, and other metadata."
Flair,associatedWithPost,Post,Represents flair tags associated with posts or content.,Links tagged content to the post it is associated with.,"Represents posts created by users, which may contain text, media, and other metadata."
Flair,associatedWithPost,Post,Represents flair tags associated with posts or content.,Links a flair to a specific post in the system.,"Represents posts created by users, which may contain text, media, and other metadata."
Flair,associatedWithPost,Post,Represents flair tags associated with posts or content.,Links a pinning action to the associated post.,"Represents posts created by users, which may contain text, media, and other metadata."
Flair,associatedWithPost,Post,Represents flair tags associated with posts or content.,Links a flair tag to a specific post.,"Represents posts created by users, which may contain text, media, and other metadata."
User,opensPoll,Polls,Represents a user in the online forum or blog system.,Indicates that a user has created or opened a poll.,Represents polls created by users with questions and options for interaction.
User,postsContentAsAnonymous,Post,Represents a user in the online forum or blog system.,Indicates that a user has posted content anonymously.,"Represents posts created by users, which may contain text, media, and other metadata."
CommunityCreation,createdByUser,User,Represents the creation process and properties of a community.,Links the creation of a community to the user who created it.,Represents a user in the online forum or blog system.
CommunityCreation,hasCommunityRules,CommunityRules,Represents the creation process and properties of a community.,Links a community to its associated rules or guidelines.,Represents rules or guidelines that govern behavior and content within a community.
CommunityCreation,hasCommunityRules,CommunityRules,Represents the creation process and properties of a community.,Links a community to its associated rules or guidelines.,Represents the rules governing a community's content and behavior.
User,joinsCommunity,Community,Represents a user in the online forum or blog system.,Indicates that a user has joined a community.,"Represents an online community where users can join, follow, and interact with posts and rules."
User,followsCommunity,Community,Represents a user in the online forum or blog system.,Indicates that a user is following a community.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityRules,addedByModerator,Moderator,Represents rules or guidelines that govern behavior and content within a community.,Indicates which moderator added a specific rule to the community.,Represents a moderator assigned to a community with specific roles and permissions.
CommunityRules,addedByModerator,Moderator,Represents the rules governing a community's content and behavior.,Indicates which moderator added a specific rule to the community.,Represents a moderator assigned to a community with specific roles and permissions.
User,highlightsCommunity,Community,Represents a user in the online forum or blog system.,Indicates that a user highlights or promotes a community.,"Represents an online community where users can join, follow, and interact with posts and rules."
User,customizesCommunityNotification,Community,Represents a user in the online forum or blog system.,Indicates that a user customizes notification settings for a community.,"Represents an online community where users can join, follow, and interact with posts and rules."
CommunityReputation,earnedByUser,User,"Defines a community's reputation metrics, including karma points and levels.",Links reputation metrics to the user who earned them.,Represents a user in the online forum or blog system.
Community,hasLeaderboard,Leaderboards,"Represents an online community where users can join, follow, and interact with posts and rules.",Links a community to its associated leaderboard.,Represents leaderboards within the community.
Leaderboards,displaysTopContributor,User,Represents leaderboards within the community.,Indicates the user displayed as the top contributor in the leaderboard.,Represents a user in the online forum or blog system.
Leaderboards,displaysTopEngagement,User,Represents leaderboards within the community.,Indicates the user displayed as the top engager in the leaderboard.,Represents a user in the online forum or blog system.
User,isAssignedAsModeratorIn,Community,Represents a user in the online forum or blog system.,Links a user who is assigned as a moderator to the community they moderate.,"Represents an online community where users can join, follow, and interact with posts and rules."
Moderator,moderatesCommunity,Community,Represents a moderator assigned to a community with specific roles and permissions.,Links a moderator to the community they moderate.,"Represents an online community where users can join, follow, and interact with posts and rules."
Moderator,hasAssignedBy,Moderator,Represents a moderator assigned to a community with specific roles and permissions.,Indicates the administrator who assigned the user as a moderator.,Represents a moderator assigned to a community with specific roles and permissions.
Moderator,approvesPost,Post,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has approved a post in the community.,"Represents posts created by users, which may contain text, media, and other metadata."
Moderator,deniesPost,Post,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has denied a post in the community.,"Represents posts created by users, which may contain text, media, and other metadata."
Moderator,bansUser,User,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has banned a user from the community.,Represents a user in the online forum or blog system.
Moderator,unbansUser,User,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has unbanned a user in the community.,Represents a user in the online forum or blog system.
Moderator,locksPost,Post,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has locked a post in the community.,"Represents posts created by users, which may contain text, media, and other metadata."
Moderator,unlocksPost,Post,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has unlocked a post in the community.,"Represents posts created by users, which may contain text, media, and other metadata."
Moderator,removesComment,Comment,Represents a moderator assigned to a community with specific roles and permissions.,Indicates that a moderator has removed a comment from the community.,Represents comments made by users on content.
