ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:hasReportTimestamp,MP:hasRetweetTimestamp,81.08,Timestamp for submitting a problem report.,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.
OSN:hasProfilePrivacySettings,MP:hasPrivacySetting,80.95,Settings for profile visibility and privacy.,"Specifies the user's privacy settings (e.g., public profile, private account)."
OSN:hasEditTimestamp,MP:hasCommentTimestamp,80,The timestamp of the last edit made to the avatar.,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        "
OSN:hasEditTimestamp,MP:hasRetweetTimestamp,80,The timestamp of the last edit made to the avatar.,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.
OSN:hasEventDeviceInfo,MP:hasPostDeviceInfo,80,Device information of the user managing the event.,"
            Stores information about the device or app used to create the post
            (e.g., 'Twitter Web on MacBook Pro', 'Android App').
        "
OSN:hasNotificationIP,MP:hasNotificationsSetting,80,Stores the IP address of the user who received the video notification.,"Specifies the user's notifications settings (e.g., email notifications enabled)."
OSN:hasPostCaption,MP:hasLocation,80,The caption associated with the avatar post.,Indicates the user's location as shown on their profile.
OSN:hasPostCreationTimestamp,MP:hasPostTimestamp,80,The timestamp when the avatar post was created.,"
            Records the date and time when the post was created or published.
        "
OSN:hasPostLocation,MP:hasPostURL,80,Stores Post's geotag location,"
            Contains the public URL or permalink to the post, if available.
            Useful for referencing the post directly from an external link.
        "
OSN:hasPostTimestamp,MP:hasCommentTimestamp,80,Stores post's timestamp,"
            The date and time when this comment was created.
            Useful for forensic timeline reconstruction.
        "
OSN:hasPostTimestamp,MP:hasDMTimestamp,80,Stores post's timestamp,"
            The date and time when the DM was sent.
        "
OSN:hasReactionType,MP:hasCreationDate,80,"Stores the type of reaction given, such as Love, Angry, etc.",Indicates the creation date of the community.
OSN:hasReelWatchTimestamp,MP:hasRetweetTimestamp,80,Timestamp of when the reel was watched.,Mencatat tanggal dan waktu ketika retweet atau reblog terjadi.
OSN:hasAccountCreationDate,MCSS:hasAccountCreationDate,100,Stores the account creation date for the user.,The date and time when the user's account was created.
OSN:hasCommentText,MCSS:hasCommentText,100,Stores the text of the comment.,Stores the text of a comment.
OSN:hasDescription,MCSS:hasDescription,100,The description of the page.,Stores the description of the video.
OSN:hasDeviceInfo,MCSS:hasDeviceInfo,100,Stores the device information of the user who gave the like.,Stores the device information of the user device who gave a comment.
OSN:hasEmail,MCSS:hasEmail,100,Stores the email address of the user.,The email address associated with the user.
OSN:hasPhoneNumber,MCSS:hasPhoneNumber,100,Stores the user's phone number.,The phone number associated with the user.
OSN:hasPostLocation,MCSS:hasPostLocation,100,Stores Post's geotag location,Location associated with the short video post.
OSN:hasProfilePicture,MCSS:hasProfilePicture,100,Stores the URL or file path to the user's profile picture.,URL of the user's profile picture.
OSN:hasReportTimestamp,MCSS:hasReportTimestamp,100,Timestamp for submitting a problem report.,Records the timestamp when a report interaction occurred.
OSN:hasTimestamp,MCSS:hasTimestamp,100,Stores the timestamp when the like was given.,Represents the timestamp of when the message was sent.
OSN:hasUserInteractionIP,MCSS:hasUserInteractionIP,100,Stores the IP address of the user who gave the like.,Stores the IP information of the user device who gave a comment.
OSN:hasUsername,MCSS:hasUsername,100,Stores the unique username of the user.,The username chosen by the user.
OSN:hasVideoLocation,MCSS:hasVideoLocation,100,Stores Video's geotag location,Represents the location associated with the video.
OSN:hasViewCount,MCSS:hasViewCount,100,The total number of views on the page.,Represents the number of views the video has received.
OSN:hasNotificationSoundsSettings,MCSS:hasNotificationSoundSetting,96.43,Settings for notification sounds.,Indicates the user's chosen notification sound setting.
OSN:hasEmailNotificationsStatus,MCSS:hasEmail,90,Status of email notifications (enabled/disabled).,The email address associated with the user.
OSN:hasGIF,MCSS:hasGiftComment,90,"Stores the GIF attached to a post, if any.",Stores a comment provided with the gift.
OSN:hasGIF,MCSS:hasGiftPrice,90,"Stores the GIF attached to a post, if any.",Stores the price of the gift sent during a live session.
OSN:hasGIF,MCSS:hasGiftTimestamp,90,"Stores the GIF attached to a post, if any.",Records the timestamp when a gift was sent during a live session.
OSN:hasPhoneNumberVerificationStatus,MCSS:hasPhoneNumber,90,Indicates the verification status of the user's phone number.,The phone number associated with the user.
OSN:hasPostCaption,MCSS:hasPostLocation,89.66,The caption associated with the avatar post.,Location associated with the short video post.
OSN:hasProfilePictureHash,MCSS:hasProfilePicture,89.47,For verifying the integrity of the profile picture using hash.,URL of the user's profile picture.
OSN:hasMessageContentType,MCSS:hasNewsPageContentType,88.37,"Specifies the type of content in the message, e.g., text, photo, video.","Indicates the type of content displayed on the news watch page (e.g., video, article)."
OSN:hasPostTimestamp,MCSS:hasReportTimestamp,88.24,Stores post's timestamp,Records the timestamp when a report interaction occurred.
OSN:hasVideoCount,MCSS:hasViewCount,88,The number of videos on the page.,Represents the number of views the video has received.
OSN:hasEditTimestamp,MCSS:hasGiftTimestamp,87.5,The timestamp of the last edit made to the avatar.,Records the timestamp when a gift was sent during a live session.
OSN:hasRuleDescription,MCSS:hasDescription,87.5,The description of the group rule.,Stores the description of the video.
OSN:hasNotificationIP,MCSS:hasNotificationPreferences,87.27,Stores the IP address of the user who received the video notification.,Notification preferences set by the user.
OSN:hasDeviceInfo,MCSS:hasPostDeviceInfo,86.67,Stores the device information of the user who gave the like.,Device information used to create the short video post.
OSN:hasReelDeviceInfo,MCSS:hasDeviceInfo,86.67,Device information of the user while watching the reel.,Stores the device information of the user device who gave a comment.
OSN:hasVideoLocation,MCSS:hasShortVideoLocation,86.49,Stores Video's geotag location,Represents the location associated with the short video.
OSN:hasEditTimestamp,MCSS:hasTimestamp,85.71,The timestamp of the last edit made to the avatar.,Represents the timestamp of when the message was sent.
OSN:hasLastLogin,MCSS:hasLastLoginDate,85.71,Stores the date and time of the user's last login.,The date and time of the user's last login.
OSN:hasLinkedAccount,MCSS:hasLikeCount,85.71,Stores the username or identifier of the linked social media account.,Represents the number of likes the video has received.
OSN:hasPostTimestamp,MCSS:hasTimestamp,85.71,Stores post's timestamp,Represents the timestamp of when the message was sent.
OSN:hasTimestamp,MCSS:hasGiftTimestamp,85.71,Stores the timestamp when the like was given.,Records the timestamp when a gift was sent during a live session.
OSN:hasTimestamp,MCSS:hasLikeTimestamp,85.71,Stores the timestamp when the like was given.,Records the timestamp when a like interaction occurred.
OSN:hasDescription,MCSS:hasShortDescription,84.85,The description of the page.,Stores the description of the short video.
OSN:hasEventDescription,MCSS:hasDescription,84.85,The description of the event.,Stores the description of the video.
OSN:hasGroupDescription,MCSS:hasDescription,84.85,A description of the group.,Stores the description of the video.
OSN:hasUserInteractionIP,MCSS:hasUserID,84.71,Stores the IP address of the user who gave the like.,Unique identifier for the user.
OSN:hasLocation,MCSS:hasLiveLocation,84.62,The location of the page.,Represents the location associated with the live session.
OSN:hasLocation,MCSS:hasPostLocation,84.62,The location of the page.,Location associated with the short video post.
OSN:hasNotificationIP,MCSS:hasNotificationSoundSetting,84.38,Stores the IP address of the user who received the video notification.,Indicates the user's chosen notification sound setting.
OSN:hasMessageAttachment,MCSS:hasMediaAttachment,84.21,Attachment on direct messages sent by the user.,Represents the URL of a media attachment in the message.
OSN:hasEventDeviceInfo,MCSS:hasDeviceInfo,83.87,Device information of the user managing the event.,Stores the device information of the user device who gave a comment.
OSN:hasEventLocation,MCSS:hasLiveLocation,83.87,The location of the event.,Represents the location associated with the live session.
OSN:hasStoryLocation,MCSS:hasPostLocation,83.87,Stores story's geotag location,Location associated with the short video post.
OSN:hasVideoLocation,MCSS:hasLiveLocation,83.87,Stores Video's geotag location,Represents the location associated with the live session.
OSN:hasProfilePrivacySettings,MCSS:hasPrivacySettings,83.72,Settings for profile visibility and privacy.,Privacy settings defined by the user.
OSN:hasMessageLocation,MCSS:hasMessageReaction,83.33,Location on direct messages sent by the user.,Represents an array of emojis reacting to the message.
OSN:hasViewCount,MCSS:hasLikeCount,83.33,The total number of views on the page.,Represents the number of likes the video has received.
OSN:hasEventInteractionIP,MCSS:hasUserInteractionIP,82.93,The IP address of the user managing the event.,Stores the IP information of the user device who gave a comment.
OSN:hasProfilePicture,MCSS:hasChannelProfilePicture,82.93,Stores the URL or file path to the user's profile picture.,URL of the channel's profile picture.
OSN:hasTimestamp,MCSS:hasShareTimestamp,82.76,Stores the timestamp when the like was given.,Records the timestamp when a share interaction occurred.
OSN:hasNotificationActionTimestamp,MCSS:donationTime,82.5,Timestamp of notification-related actions.,The timestamp when the donation was made.
OSN:hasEditTimestamp,MCSS:hasReportTimestamp,82.35,The timestamp of the last edit made to the avatar.,Records the timestamp when a report interaction occurred.
OSN:hasLogoutTimestamp,MCSS:hasGiftTimestamp,82.35,Timestamp indicating when the logout occurred.,Records the timestamp when a gift was sent during a live session.
OSN:hasGroupName,MCSS:hasGroupMessageCreatedTimestamp,81.82,The name of the group.,Represents the timestamp when the group message thread was created.
OSN:hasGroupName,MCSS:hasGroupMessageLastActivity,81.82,The name of the group.,Represents the timestamp of the last activity in the group message thread.
OSN:hasGroupName,MCSS:hasGroupMessageTitle,81.82,The name of the group.,Represents the title of a group message thread.
OSN:hasInboxAccessTimestamp,MCSS:hasTimestamp,81.82,Timestamp for accessing the support inbox.,Represents the timestamp of when the message was sent.
OSN:hasReelWatchTimestamp,MCSS:hasTimestamp,81.82,Timestamp of when the reel was watched.,Represents the timestamp of when the message was sent.
OSN:hasSupportAccessTimestamp,MCSS:hasTimestamp,81.82,Timestamp for accessing the support center.,Represents the timestamp of when the message was sent.
OSN:hasLocation,MCSS:hasVideoLocation,81.48,The location of the page.,Represents the location associated with the video.
OSN:hasEditTimestamp,MCSS:hasLikeTimestamp,81.25,The timestamp of the last edit made to the avatar.,Records the timestamp when a like interaction occurred.
OSN:hasEventLocation,MCSS:hasVideoLocation,81.25,The location of the event.,Represents the location associated with the video.
OSN:hasPostTimestamp,MCSS:hasGiftTimestamp,81.25,Stores post's timestamp,Records the timestamp when a gift was sent during a live session.
OSN:hasSellerLocation,MCSS:hasLiveLocation,81.25,The location of the seller for the listing.,Represents the location associated with the live session.
OSN:hasGameSaveTimestamp,MCSS:hasShareTimestamp,81.08,The timestamp when the game was saved.,Records the timestamp when a share interaction occurred.
OSN:hasRuleDescription,MCSS:hasShortDescription,81.08,The description of the group rule.,Stores the description of the short video.
OSN:hasLastName,MCSS:hasLastMessagePreview,81,Stores the last name of the user.,Displays a preview of the most recent message.
OSN:hasDescription,MCSS:hasChannelDescription,80,The description of the page.,Description of the channel.
OSN:hasEditTimestamp,MCSS:hasCommentTimestamp,80,The timestamp of the last edit made to the avatar.,Records the timestamp when a comment interaction occurred.
OSN:hasEditTimestamp,MCSS:hasDislikeTimestamp,80,The timestamp of the last edit made to the avatar.,Records the timestamp when a dislike interaction occurred.
OSN:hasEventCount,MCSS:hasViewCount,80,The number of events on the page.,Represents the number of views the video has received.
OSN:hasEventDeviceInfo,MCSS:hasPostDeviceInfo,80,Device information of the user managing the event.,Device information used to create the short video post.
OSN:hasLogoutTimestamp,MCSS:hasTimestamp,80,Timestamp indicating when the logout occurred.,Represents the timestamp of when the message was sent.
OSN:hasNotificationFrequency,MCSS:hasNotificationPreferences,80,"The frequency of group notifications (e.g., Daily, Weekly).",Notification preferences set by the user.
OSN:hasPostLocation,MCSS:hasPostURL,80,Stores Post's geotag location,URL of the short video post.
OSN:hasPostTimestamp,MCSS:hasCommentTimestamp,80,Stores post's timestamp,Records the timestamp when a comment interaction occurred.
OSN:hasPostTimestamp,MCSS:hasPostIP,80,Stores post's timestamp,IP address used to create the short video post.
OSN:hasPostVisibility,MCSS:hasPostIP,80,"The visibility level of the avatar post (e.g., Public, Private).",IP address used to create the short video post.
OSN:hasReelLocation,MCSS:hasLiveLocation,80,Stores Reel's geotag location,Represents the location associated with the live session.
OSN:hasReportTimestamp,MCSS:hasShareTimestamp,80,Timestamp for submitting a problem report.,Records the timestamp when a share interaction occurred.
OSN:hasReportTimestamp,MCSS:hasTimestamp,80,Timestamp for submitting a problem report.,Represents the timestamp of when the message was sent.
OSN:hasTimestamp,MCSS:hasReportTimestamp,80,Stores the timestamp when the like was given.,Records the timestamp when a report interaction occurred.
OSN:hasVideoCount,MCSS:hasLikeCount,80,The number of videos on the page.,Represents the number of likes the video has received.
OSN:hasBio,OFB:hasBio,100,Stores the biography or short description of the user.,The bio of the user.
OSN:hasCommentText,OFB:hasCommentText,100,Stores the text of the comment.,Stores the text of a comment.
OSN:hasDescription,OFB:hasDescription,100,The description of the page.,Provides a description for the community.
OSN:hasEmail,OFB:hasEmail,100,Stores the email address of the user.,The email address associated with the user account.
OSN:hasGroupName,OFB:hasGroupName,100,The name of the group.,Represents the name of the group chat.
OSN:hasLogoutTimestamp,OFB:hasLogoutTimestamp,100,Timestamp indicating when the logout occurred.,The date and time when the session was logged out.
OSN:hasMessageContent,OFB:hasMessageContent,100,The message content sent in the birthday post.,Represents the content of a direct message.
OSN:hasNotificationFrequency,OFB:hasNotificationFrequency,100,"The frequency of group notifications (e.g., Daily, Weekly).","Defines the frequency of notifications for a community (e.g., Instant or Daily Digest)."
OSN:hasNotificationType,OFB:hasNotificationType,100,"Indicates the type of video notification, such as new upload, reminder, or other alerts.","Specifies the type of community notifications, such as Post or Comment."
OSN:hasPhoneNumber,OFB:hasPhoneNumber,100,Stores the user's phone number.,The phone number associated with the user account.
OSN:hasPollOptions,OFB:hasPollOptions,100,The options for the poll (Array).,"Represents the options provided in a poll, stored as an array of strings."
OSN:hasPollQuestion,OFB:hasPollQuestion,100,The question for the poll.,Represents the question posed in a poll.
OSN:hasPostCreationTimestamp,OFB:hasPostCreationTimestamp,100,The timestamp when the avatar post was created.,Timestamp of when the post was created.
OSN:hasReportTimestamp,OFB:hasReportTimestamp,100,Timestamp for submitting a problem report.,Records the timestamp when the report was filed.
OSN:hasRuleDescription,OFB:hasRuleDescription,100,The description of the group rule.,Provides a textual description of a specific community rule.
OSN:hasTimestamp,OFB:hasTimestamp,100,Stores the timestamp when the like was given.,Records the date and time when the user action was performed.
OSN:hasUsername,OFB:hasUsername,100,Stores the unique username of the user.,The username of the user.
OSN:hasViewCount,OFB:hasViewsCount,96,The total number of views on the page.,Represents the total number of views for a content item.
OSN:hasReactionType,OFB:hasActionType,92.86,"Stores the type of reaction given, such as Love, Angry, etc.","Specifies the type of action performed by the user, such as EditProfile, EnableTwoFactorAuth, or RequestAccountDeletion."
OSN:hasLastLogin,OFB:hasLastLoginIP,92.31,Stores the date and time of the user's last login.,"
            The IP address used during the user's last login.
            Important for digital forensics or geolocation.
        "
OSN:hasFileType,OFB:hasFilterType,91.67,"The type of the file (e.g., PDF, Image).","Specifies the type of filter used (e.g., flair, tags)."
OSN:hasPollCreationTimestamp,OFB:hasPostCreationTimestamp,91.67,The timestamp when the poll was created.,Timestamp of when the post was created.
OSN:hasMessageSendTimestamp,OFB:hasMessageTimestamp,90.48,Timestamp of when a text message was sent.,Specifies the timestamp of a direct message.
OSN:hasMessageSentTimestamp,OFB:hasMessageTimestamp,90.48,The timestamp when a message was sent to the seller.,Specifies the timestamp of a direct message.
OSN:hasMessageViewTimestamp,OFB:hasMessageTimestamp,90.48,Timestamp of when a message was viewed by the user.,Specifies the timestamp of a direct message.
OSN:hasEmail,OFB:hasEmailFrequency,90,Stores the email address of the user.,Indicates the frequency of email notifications.
OSN:hasEmail,OFB:hasEmailNotificationEnabled,90,Stores the email address of the user.,Indicates whether email notifications are enabled for a user.
OSN:hasEmailNotificationsStatus,OFB:hasEmail,90,Status of email notifications (enabled/disabled).,The email address associated with the user account.
OSN:hasPhoneNumberVerificationStatus,OFB:hasPhoneNumber,90,Indicates the verification status of the user's phone number.,The phone number associated with the user account.
OSN:hasRuleCreationTimestamp,OFB:hasQueueCreationTimestamp,89.8,The timestamp when the rule was created.,Records the timestamp when the moderation queue was created.
OSN:hasMessageContentType,OFB:hasMessageContent,89.47,"Specifies the type of content in the message, e.g., text, photo, video.",Represents the content of a direct message.
OSN:hasNotificationIP,OFB:hasNotificationType,88.89,Stores the IP address of the user who received the video notification.,"Specifies the type of community notifications, such as Post or Comment."
OSN:hasTimestamp,OFB:hasPinTimestamp,88.89,Stores the timestamp when the like was given.,Records the timestamp when a post was pinned.
OSN:hasPostTimestamp,OFB:hasReportTimestamp,88.24,Stores post's timestamp,Records the timestamp when the report was filed.
OSN:hasPostTimestamp,OFB:hasUpvoteTimestamp,88.24,Stores post's timestamp,Records the timestamp when an upvote was made.
OSN:hasEventCreationTimestamp,OFB:hasQueueCreationTimestamp,88,The timestamp when the event was created.,Records the timestamp when the moderation queue was created.
OSN:hasDescription,OFB:hasRuleDescription,87.5,The description of the page.,Provides a textual description of a specific community rule.
OSN:hasListingUpdateTimestamp,OFB:hasLastUpdatedTimestamp,87.5,The timestamp when the listing was last updated.,Records the last updated timestamp of the community rule.
OSN:hasRuleDescription,OFB:hasDescription,87.5,The description of the group rule.,Provides a description for the community.
OSN:hasGameSaveTimestamp,OFB:hasMessageTimestamp,87.18,The timestamp when the game was saved.,Specifies the timestamp of a direct message.
OSN:hasMessageContent,OFB:hasGroupMessageContent,87.18,The message content sent in the birthday post.,Represents the content of a group message.
OSN:hasAccountCreationDate,OFB:hasCommunityCreationDate,86.96,Stores the account creation date for the user.,Records the date and time the community was created.
OSN:hasPollVotesCount,OFB:hasVotesCount,86.67,The total number of votes for the poll.,Represents the total number of votes for a content item.
OSN:hasGameSaveTimestamp,OFB:hasLeaveTimestamp,86.49,The timestamp when the game was saved.,Specifies the timestamp when a user left the group chat.
OSN:hasGroupDescription,OFB:hasRuleDescription,86.49,A description of the group.,Provides a textual description of a specific community rule.
OSN:hasListingCreationTimestamp,OFB:hasPostCreationTimestamp,86.27,The timestamp when the listing was created.,Timestamp of when the post was created.
OSN:hasConnectionTimestamp,OFB:hasDonationTimestamp,85.71,The timestamp when the connection was created.,Specifies the timestamp of the donation.
OSN:hasEditTimestamp,OFB:hasTimestamp,85.71,The timestamp of the last edit made to the avatar.,Records the date and time when the user action was performed.
OSN:hasEventCreationTimestamp,OFB:hasPostCreationTimestamp,85.71,The timestamp when the event was created.,Timestamp of when the post was created.
OSN:hasGroupCreationTimestamp,OFB:hasPostCreationTimestamp,85.71,The creation timestamp of the group.,Timestamp of when the post was created.
OSN:hasPostTimestamp,OFB:hasTimestamp,85.71,Stores post's timestamp,Records the date and time when the user action was performed.
OSN:hasReportTimestamp,OFB:hasReplyTimestamp,85.71,Timestamp for submitting a problem report.,Records the timestamp when a reply was made.
OSN:hasTimestamp,OFB:hasJoinTimestamp,85.71,Stores the timestamp when the like was given.,Records the timestamp of when a user joined the community.
OSN:hasTimestamp,OFB:hasLikeTimestamp,85.71,Stores the timestamp when the like was given.,Records the timestamp when a like was made.
OSN:hasTimestamp,OFB:hasMuteTimestamp,85.71,Stores the timestamp when the like was given.,Records the timestamp when a topic or user was muted.
OSN:hasEventDescription,OFB:hasDescription,84.85,The description of the event.,Provides a description for the community.
OSN:hasGroupDescription,OFB:hasDescription,84.85,A description of the group.,Provides a description for the community.
OSN:hasCategory,OFB:hasCategoryName,84.62,The category of the page.,Specifies the name of the category being explored.
OSN:hasPostCount,OFB:hasPostContent,84.62,The number of posts on the page.,"Content of the post, typically text or markdown."
OSN:hasVideoCount,OFB:hasViewsCount,84.62,The number of videos on the page.,Represents the total number of views for a content item.
OSN:hasAvatarCreationTimestamp,OFB:hasPostCreationTimestamp,84,The timestamp when the avatar was created.,Timestamp of when the post was created.
OSN:hasGroupCreationTimestamp,OFB:hasQueueCreationTimestamp,84,The creation timestamp of the group.,Records the timestamp when the moderation queue was created.
OSN:hasPostTimestamp,OFB:hasAnonymousPostTimestamp,84,Stores post's timestamp,Records the timestamp of when the anonymous post was created.
OSN:hasEditTimestamp,OFB:hasPinTimestamp,83.87,The timestamp of the last edit made to the avatar.,Records the timestamp when a post was pinned.
OSN:hasPostTimestamp,OFB:hasPinTimestamp,83.87,Stores post's timestamp,Records the timestamp when a post was pinned.
OSN:hasDeviceInfo,OFB:hasDeviceID,83.33,Stores the device information of the user who gave the like.,Represents the unique identifier of the notification device.
OSN:hasFirstName,OFB:hasFlairName,83.33,Stores the first name of the user.,Specifies the name of the flair tag used.
OSN:hasLoginIP,OFB:hasLastLoginIP,83.33,Stores the IP address used during the user's last login session.,"
            The IP address used during the user's last login.
            Important for digital forensics or geolocation.
        "
OSN:hasNotificationTimestamp,OFB:hasPostCreationTimestamp,83.33,Stores the timestamp when the video notification was received.,Timestamp of when the post was created.
OSN:hasReportTimestamp,OFB:hasUpvoteTimestamp,83.33,Timestamp for submitting a problem report.,Records the timestamp when an upvote was made.
OSN:hasRuleCreationTimestamp,OFB:hasPostCreationTimestamp,83.33,The timestamp when the rule was created.,Timestamp of when the post was created.
OSN:hasTimestamp,OFB:hasAwardTimestamp,82.76,Stores the timestamp when the like was given.,Records the timestamp when an award was given.
OSN:hasTimestamp,OFB:hasBlockTimestamp,82.76,Stores the timestamp when the like was given.,Records the timestamp when a user was blocked.
OSN:hasTimestamp,OFB:hasLeaveTimestamp,82.76,Stores the timestamp when the like was given.,Specifies the timestamp when a user left the group chat.
OSN:hasTimestamp,OFB:hasReplyTimestamp,82.76,Stores the timestamp when the like was given.,Records the timestamp when a reply was made.
OSN:hasTimestamp,OFB:hasShareTimestamp,82.76,Stores the timestamp when the like was given.,Records the timestamp when content was shared.
