ont 1,ont 2,score,Comment Onto 1,Comment Onto 2
OSN:deniesPost,OFB:deniesPost,100.0,Allows an admin to deny a post submitted by a group member.,Indicates that a moderator has denied a post in the community.
OSN:follows,OFB:followsCommunity,90.0,,Indicates that a user is following a community.
OSN:follows,OFB:followsTopic,90.0,,Links a user to a topic they are following.
OSN:createsGroupChat,OFB:leavesGroupChat,83.87,Links a user to the creation of a group chat.,Links a user to the group chat they left.
OSN:editsAvatar,OFB:canEditAvatar,83.33,Links a user to editing an existing avatar.,Indicates that a user can edit their avatar.
OSN:commentsActivities,OFB:commentsOn,80.0,Records activities related to commenting on content.,Links a user to the content they have commented on.
OSN:createsGroupChat,OFB:mutesGroupChat,80.0,Links a user to the creation of a group chat.,Links a user to the group chat they muted.
OSN:pinsGroup,OFB:joinsGroupChat,80.0,Links a user to the groups they have pinned.,Links a user to the group chat they joined.
OSN:reactedBy,OFB:createdByModerator,80.0,Links a reaction interaction with the User who reacted to the content.,Links a community rule to the moderator who created it.
OSN:sendsTextMessage,OFB:sendsMessageTo,80.0,Indicates that a user sent a text message.,Links a user who sends a direct message to another user.
MP:canEditProfile,MCSS:canEditProfile,100.0,Indicates permission to edit profile information.,Indicates that the user can edit their general profile settings.
MP:commentedBy,MCSS:commentedBy,100.0,"
            Points to the user who wrote this comment.
        ",Links a comment with the User who made the comment.
MP:deletesMessage,MCSS:deletesMessage,100.0,Indicates that a user deletes a specific direct message.,Represents a user deleting a specific message.
MP:repliesToMessage,MCSS:repliesToMessage,100.0,Indicates that a user replies to a specific direct message.,Represents a user replying to a specific message.
MP:reportsMessage,MCSS:reportsMessage,100.0,Indicates that a user reports a specific direct message for inappropriate content.,Represents a user reporting a message for review.
MP:sendsVoiceNotesTo,MCSS:sendsVoiceNoteTo,96.97,Indicates that a user sends voice notes to another user.,Represents a user sending a voice note to another user.
MP:canEditProfile,MCSS:canEditProfilePicture,90.0,Indicates permission to edit profile information.,Indicates that the user can edit their profile picture within the profile settings.
MP:commentsOn,MCSS:commentsOnContent,90.0,,Indicates that a user comments on specific content.
MP:reports,MCSS:reportsChannel,90.0,,Indicates that a user reports specific channel.
MP:reports,MCSS:reportsContent,90.0,,Indicates that a user reports specific content.
MP:reports,MCSS:reportsMessage,90.0,,Represents a user reporting a message for review.
MP:reports,MCSS:reportsUser,90.0,,Indicates that a user reports specific user.
MP:likesComment,MCSS:likesContent,83.33,,Indicates that a user likes a specific content.
MP:commentedOn,MCSS:associatedWithCommentedPost,81.82,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        ",Indicates that a comment is associated with a commented post.
MP:commentedOn,MCSS:commentedBy,81.82,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        ",Links a comment with the User who made the comment.
MP:sendsMediaTo,MCSS:sendsMediaMessageTo,81.82,"Indicates that a user sends media files (photos, videos) to another user.",Represents a user sending a media message to another user.
MP:reportComment,MCSS:reportsContent,81.48,,Indicates that a user reports specific content.
MP:likesPost,MCSS:associatedWithDislikedPost,80.0,,Indicates that a dislike is associated with a disliked post.
MP:likesPost,MCSS:associatedWithLikedPost,80.0,,Indicates that a like is associated with a liked post.
MP:blockInitiator,OFB:blockInitiator,100.0,"
            The user who initiates the block action.
        ","
        Indicates the user who initiates the blocking action.
        "
MP:canEditAvatar,OFB:canEditAvatar,100.0,Indicates permission to edit profile avatar.,Indicates that a user can edit their avatar.
MP:canEditProfile,OFB:canEditProfile,100.0,Indicates permission to edit profile information.,Indicates that a user can edit their profile settings.
MP:commentsOn,OFB:commentsOn,100.0,,Links a user to the content they have commented on.
MP:joinsCommunity,OFB:joinsCommunity,100.0,Indicates that a user has joined a specific community.,Indicates that a user has joined a community.
MP:repliesOnComment,OFB:repliesToComment,93.75,,Links a user to the comment they have replied to.
MP:blocks,OFB:blocksUser,90.0,,Links a user to another user they have blocked.
MP:blocks,OFB:unblocksUser,90.0,,Links a user to another user they have unblocked.
MP:commentsOnReblogRetweetPost,OFB:commentsOn,90.0,,Links a user to the content they have commented on.
MP:follow,OFB:followsCommunity,90.0,,Indicates that a user is following a community.
MP:follow,OFB:followsTopic,90.0,,Links a user to a topic they are following.
MP:searchFor,OFB:searchesFor,90.0,Allows a user to search for other users within the platform.,Links a user to the target of their search query.
MP:searchesForCommunity,OFB:searchesFor,90.0,Indicates that a user is searching for a specific community.,Links a user to the target of their search query.
MP:unblocks,OFB:unblocksUser,90.0,,Links a user to another user they have unblocked.
MP:pinsCommunity,OFB:joinsCommunity,88.89,Indicates that a user has pinned a specific community to their profile or feed.,Indicates that a user has joined a community.
MP:sharesCommunity,OFB:sharedToCommunity,87.5,Indicates that a user has shared a community with others.,Links shared content to the community where it was reposted.
MP:blockedUser,OFB:blocksUser,85.71,"
            The user who is being blocked.
        ",Links a user to another user they have blocked.
MP:commentedOn,OFB:commentsOn,85.71,"
            Points to the post on which this comment was made.
            For reblog/retweet, you could similarly add commentedOnReblogRetweetPost, etc.
        ",Links a user to the content they have commented on.
MP:isSubscribedTo,OFB:subscribesTo,84.62,Links a user to a specific subscription they are subscribed to.,Links a user to the subscription plan they have subscribed to.
MP:saveSearchesFor,OFB:searchesFor,84.62,Allows a user to save their searches for future reference.,Links a user to the target of their search query.
MP:likesComment,OFB:likesContent,83.33,,Links a user to the content they have liked.
MP:schedulePost,OFB:editsScheduledPost,82.5,Schedules a post to be published at a specified time.,Indicates that a user edits an existing scheduled post.
MP:schedulePost,OFB:postsScheduledPost,82.5,Schedules a post to be published at a specified time.,Links a user to the scheduled post they have created.
MP:blocks,OFB:blockInitiator,81.82,,"
        Indicates the user who initiates the blocking action.
        "
MP:blocks,OFB:blockedTargetUser,81.82,,"
        Indicates the user who is being blocked.
        "
MP:blocks,OFB:locksPost,81.82,,Indicates that a moderator has locked a post in the community.
MP:saveAsDraft,OFB:savesPostAsDraft,81.48,Saves a post as a draft for future editing or posting.,Indicates that a user saved a post as a draft.
MP:searchesForLists,OFB:searchesFor,81.48,Indicates that a user has searched for specific lists on the platform.,Links a user to the target of their search query.
MP:pinsCommunity,OFB:pinsPostByCommunity,81.25,Indicates that a user has pinned a specific community to their profile or feed.,Links a community to a post it has pinned.
MP:canEditProfile,OFB:canSetProfileVisibility,80.0,Indicates permission to edit profile information.,Indicates that a user can set their profile visibility (Public or Private).
MP:dmReceiver,OFB:messageReceiver,80.0,"
            The user who receives this direct message.
        ","
        Indicates the user who received this particular direct message instance.
        "
MCSS:associatedWithContent,OFB:associatedWithContent,100.0,Indicates that a like is associated with a specific content.,Links an upvote or downvote action to the associated content.
MCSS:associatedWithUser,OFB:associatedWithUser,100.0,Links the channel to the user who owns or manages it.,Links a post to the user who created it.
MCSS:canEditProfile,OFB:canEditProfile,100.0,Indicates that the user can edit their general profile settings.,Indicates that a user can edit their profile settings.
MCSS:likesContent,OFB:likesContent,100.0,Indicates that a user likes a specific content.,Links a user to the content they have liked.
MCSS:sendsMessageTo,OFB:sendsMessageTo,100.0,Represents a user sending a message to another user.,Links a user who sends a direct message to another user.
MCSS:sharesContent,OFB:sharesContent,100.0,Indicates that a user shares specific content.,Links a user to the content they have shared or reposted.
MCSS:associatedWithContent,OFB:associatedWithComment,90.48,Indicates that a like is associated with a specific content.,Links a reply action to the associated comment.
MCSS:associatedWithCommentedShortVideo,OFB:associatedWithComment,90.0,Indicates that a comment is associated with a commented short video.,Links a reply action to the associated comment.
MCSS:canEditProfilePicture,OFB:canEditProfile,90.0,Indicates that the user can edit their profile picture within the profile settings.,Indicates that a user can edit their profile settings.
MCSS:commentsOnContent,OFB:commentsOn,90.0,Indicates that a user comments on specific content.,Links a user to the content they have commented on.
MCSS:searchesForContent,OFB:searchesFor,90.0,Indicates that a user searches for specific content using search functionality.,Links a user to the target of their search query.
MCSS:subscribesToCreator,OFB:subscribesTo,90.0,Indicates that a User subscribes to a content creator.,Links a user to the subscription plan they have subscribed to.
MCSS:dislikesContent,OFB:likesContent,88.89,Indicates that a user dislikes specific content.,Links a user to the content they have liked.
MCSS:associatedWithLikedPost,OFB:associatedWithPost,87.8,Indicates that a like is associated with a liked post.,Links tagged content to the post it is associated with.
MCSS:associatedWithCommentedLive,OFB:associatedWithComment,87.5,Indicates that a comment is associated with a commented live session.,Links a reply action to the associated comment.
MCSS:associatedWithCommentedPost,OFB:associatedWithComment,87.5,Indicates that a comment is associated with a commented post.,Links a reply action to the associated comment.
MCSS:associatedWithCommentedVideo,OFB:associatedWithComment,85.71,Indicates that a comment is associated with a commented video.,Links a reply action to the associated comment.
MCSS:associatedWithSharedPost,OFB:associatedWithPost,85.71,Indicates that a share is associated with a shared post.,Links tagged content to the post it is associated with.
MCSS:hasGroupParticipants,OFB:hasParticipants,85.71,Represents participants in a group message thread.,Links a group message thread to its participants.
MCSS:sendsMediaMessageTo,OFB:sendsMessageTo,84.85,Represents a user sending a media message to another user.,Links a user who sends a direct message to another user.
MCSS:editsRecommendations,OFB:receivesRecommendations,83.72,Indicates that a user edits their recommendation preferences.,Links a user to the content recommended to them.
MCSS:associatedWithCommentedPost,OFB:associatedWithContent,83.33,Indicates that a comment is associated with a commented post.,Links an upvote or downvote action to the associated content.
MCSS:associatedWithLive,OFB:associatedWithUser,83.33,Indicates that a gift interaction is associated with a specific live session.,Links a post to the user who created it.
MCSS:associatedWithUser,OFB:associatedWithPost,83.33,Links the channel to the user who owns or manages it.,Links tagged content to the post it is associated with.
MCSS:sendsGiftInMessageTo,OFB:sendsMessageTo,82.35,Allows a user to send a gift within a message to another user.,Links a user who sends a direct message to another user.
MCSS:associatedWithContent,OFB:associatedWithPost,82.05,Indicates that a like is associated with a specific content.,Links tagged content to the post it is associated with.
MCSS:unsubscribesFromCreator,OFB:unsubscribesFrom,82.05,Indicates that a User unsubscribes from a content creator.,Links a user to the subscription plan they have unsubscribed from.
MCSS:associatedWithContent,OFB:associatedWithCommunity,81.82,Indicates that a like is associated with a specific content.,Links a post to the community it belongs to.
MCSS:associatedWithDislikedPost,OFB:associatedWithPost,81.82,Indicates that a dislike is associated with a disliked post.,Links tagged content to the post it is associated with.
MCSS:associatedWithReportedPost,OFB:associatedWithPost,81.82,Indicates that a report is associated with a reported post.,Links tagged content to the post it is associated with.
MCSS:associatedWithReportedShortVideo,OFB:associatedWithUser,81.82,Indicates that a report is associated with a reported short video.,Links a post to the user who created it.
MCSS:associatedWithReportedVideo,OFB:associatedWithUser,81.82,Indicates that a report is associated with a reported video.,Links a post to the user who created it.
MCSS:associatedWithSharedShortVideo,OFB:associatedWithPost,81.82,Indicates that a share is associated with a shared short video.,Links tagged content to the post it is associated with.
MCSS:associatedWithSharedShortVideo,OFB:associatedWithUser,81.82,Indicates that a share is associated with a shared short video.,Links a post to the user who created it.
MCSS:associatedWithUser,OFB:associatedWithAwardingUser,81.82,Links the channel to the user who owns or manages it.,Links an award action to the user who awarded the content.
MCSS:associatedWithUser,OFB:associatedWithSubscriptionPlan,81.82,Links the channel to the user who owns or manages it.,Associates a user with their subscription plan.
MCSS:associatedWithCommentedShortVideo,OFB:associatedWithContent,81.43,Indicates that a comment is associated with a commented short video.,Links an upvote or downvote action to the associated content.
MCSS:associatedWithLive,OFB:associatedWithTopic,81.08,Indicates that a gift interaction is associated with a specific live session.,Links a muting action to the associated topic.
MCSS:associatedWithVideo,OFB:associatedWithPost,81.08,Indicates that a watch later action is associated with a specific video.,Links tagged content to the post it is associated with.
MCSS:associatedWithVideo,OFB:associatedWithUser,81.08,Indicates that a watch later action is associated with a specific video.,Links a post to the user who created it.
MCSS:associatedWithCommentedLive,OFB:associatedWithCommunity,80.0,Indicates that a comment is associated with a commented live session.,Links a post to the community it belongs to.
MCSS:associatedWithCommentedPost,OFB:associatedWithCommunity,80.0,Indicates that a comment is associated with a commented post.,Links a post to the community it belongs to.
MCSS:associatedWithCommentedPost,OFB:associatedWithPost,80.0,Indicates that a comment is associated with a commented post.,Links tagged content to the post it is associated with.
MCSS:associatedWithReportedShortVideo,OFB:associatedWithPost,80.0,Indicates that a report is associated with a reported short video.,Links tagged content to the post it is associated with.
MCSS:associatedWithReportedVideo,OFB:associatedWithPost,80.0,Indicates that a report is associated with a reported video.,Links tagged content to the post it is associated with.
MCSS:canEditProfile,OFB:canSetProfileVisibility,80.0,Indicates that the user can edit their general profile settings.,Indicates that a user can set their profile visibility (Public or Private).
